share_id,group_id,user_id,expense_id,amount,created_at,is_active
60,12,14,39,2.5,2025-11-28 12:00:29.435333+00,true
61,12,18,40,2.5,2025-11-28 13:40:16.2465+00,true
62,12,14,40,2.5,2025-11-28 13:40:16.2465+00,true
63,12,18,41,1.5,2025-11-28 15:58:05.412341+00,true
64,12,14,41,1.5,2025-11-28 15:58:05.412341+00,true
65,12,18,42,0.5,2025-11-28 16:10:02.563637+00,true
66,12,14,42,0.5,2025-11-28 16:10:02.563637+00,true
67,12,18,43,2,2025-11-28 16:31:28.743997+00,true
68,12,14,43,2,2025-11-28 16:31:28.743997+00,true
69,12,18,44,3,2025-11-28 16:34:31.223428+00,true
70,12,14,44,3,2025-11-28 16:34:31.223428+00,true
71,12,18,45,40,2025-11-28 16:51:37.516136+00,true
72,12,14,45,40,2025-11-28 16:51:37.516136+00,true
73,12,18,46,3.5,2025-11-28 17:35:19.279617+00,true
74,12,14,46,3.5,2025-11-28 17:35:19.279617+00,true
75,12,18,47,12,2025-11-28 18:03:35.902509+00,true
76,12,14,47,12,2025-11-28 18:03:35.902509+00,true
77,12,18,48,33.5,2025-11-28 19:10:08.920864+00,true
78,12,14,48,33.5,2025-11-28 19:10:08.920864+00,true
79,12,14,49,40,2025-11-28 19:10:34.157359+00,true
80,12,18,49,40,2025-11-28 19:10:34.157359+00,true
83,12,18,51,0.5,2025-11-28 20:43:37.70442+00,true
84,12,14,51,0.5,2025-11-28 20:43:37.70442+00,true
89,12,18,54,2.5,2025-11-29 15:20:29.746999+00,true
90,12,14,54,2.5,2025-11-29 15:20:29.746999+00,true
91,10,14,55,0.5,2025-11-29 15:21:11.984063+00,true
92,10,18,55,0.5,2025-11-29 15:21:11.984063+00,true
95,16,14,57,40,2025-11-29 15:36:57.110837+00,true
96,16,18,57,40,2025-11-29 15:36:57.110837+00,true
100,16,14,58,10,2025-11-29 20:06:05.879799+00,true
101,16,18,58,12,2025-11-29 20:06:05.879799+00,true
102,16,12,58,8,2025-11-29 20:06:05.879799+00,true
103,16,14,59,3.33,2025-11-29 20:36:39.767501+00,true
104,16,18,59,3.33,2025-11-29 20:36:39.767501+00,true
105,16,12,59,3.34,2025-11-29 20:36:39.767501+00,true
110,16,14,62,2.25,2025-11-29 23:27:29.853718+00,true
111,16,18,62,2.25,2025-11-29 23:27:29.853718+00,true
112,16,12,62,2.25,2025-11-29 23:27:29.853718+00,true
113,16,32,62,2.25,2025-11-29 23:27:29.853718+00,true
114,16,12,63,6.25,2025-11-30 12:07:14.028851+00,true
115,16,14,63,6.25,2025-11-30 12:07:14.028851+00,true
116,16,18,63,6.25,2025-11-30 12:07:14.028851+00,true
117,16,32,63,6.25,2025-11-30 12:07:14.028851+00,true
120,19,18,65,2,2025-11-30 20:38:56.615693+00,true
121,19,33,65,2,2025-11-30 20:38:56.615693+00,true
122,19,33,66,10,2025-11-30 20:40:04.624281+00,true
123,19,18,66,10,2025-11-30 20:40:04.624281+00,true
124,19,33,67,200,2025-11-30 20:40:24.228582+00,true
125,19,18,67,200,2025-11-30 20:40:24.228582+00,true
126,19,33,68,250,2025-11-30 20:45:55.662281+00,true
127,19,18,68,250,2025-11-30 20:45:55.662281+00,true
128,21,34,70,1,2025-11-30 20:51:20.479043+00,true
129,21,14,70,1,2025-11-30 20:51:20.479057+00,true
130,21,34,71,5,2025-11-30 20:52:04.689153+00,true
131,21,14,71,20,2025-11-30 20:52:04.689153+00,true
132,19,33,72,38.5,2025-11-30 22:29:05.84411+00,true
133,19,18,72,32.5,2025-11-30 22:29:05.84411+00,true
134,19,33,73,32.5,2025-11-30 23:20:07.491561+00,true
135,19,18,73,38.5,2025-11-30 23:20:07.491561+00,true
136,22,34,74,1,2025-12-01 12:04:02.518928+00,true
137,22,14,74,1,2025-12-01 12:04:02.518944+00,true
138,22,34,75,40,2025-12-01 12:05:00.593493+00,true
139,22,14,75,10,2025-12-01 12:05:00.593493+00,true
140,23,14,76,1,2025-12-01 12:10:38.008821+00,true
141,23,34,76,1,2025-12-01 12:10:38.00888+00,true
142,23,14,77,25,2025-12-01 12:11:02.905992+00,true
143,23,34,77,25,2025-12-01 12:11:02.905992+00,true
144,10,14,78,10,2025-12-01 13:52:16.260504+00,true
145,10,18,78,10,2025-12-01 13:52:16.260504+00,true
146,19,33,79,32.5,2025-12-01 13:54:31.815174+00,true
147,19,18,79,38.5,2025-12-01 13:54:31.815174+00,true
148,16,14,80,2.5,2025-12-01 14:10:40.174873+00,true
149,16,18,80,2.5,2025-12-01 14:10:40.174873+00,true
150,16,12,80,2.5,2025-12-01 14:10:40.174873+00,true
151,16,32,80,2.5,2025-12-01 14:10:40.174873+00,true
152,16,14,81,30.5,2025-12-01 14:14:07.413525+00,true
153,16,18,81,26.5,2025-12-01 14:14:07.413525+00,true
154,16,12,81,6,2025-12-01 14:14:07.413525+00,true
155,16,32,81,8,2025-12-01 14:14:07.413525+00,true
156,19,18,82,164.5,2025-12-01 16:56:41.132562+00,true
157,19,33,82,164.5,2025-12-01 16:56:41.132562+00,true
158,16,18,83,90,2025-12-02 21:04:24.059642+00,true
159,16,32,83,10,2025-12-02 21:04:24.059642+00,true
165,6,11,84,8.75,2025-12-03 18:39:53.153166+00,true
166,6,10,84,8.75,2025-12-03 18:39:53.153166+00,true
167,6,12,84,8.75,2025-12-03 18:39:53.153166+00,true
168,6,13,84,8.75,2025-12-03 18:39:53.153166+00,true
169,16,12,85,2,2025-12-03 19:43:45.58292+00,true
170,16,14,85,2,2025-12-03 19:43:45.58292+00,true
171,16,18,85,2,2025-12-03 19:43:45.58292+00,true
172,16,32,85,2,2025-12-03 19:43:45.58292+00,true
173,16,37,85,2,2025-12-03 19:43:45.58292+00,true
174,16,14,86,24,2025-12-05 13:31:38.544295+00,true
175,16,18,86,24,2025-12-05 13:31:38.544295+00,true
176,16,12,86,6.5,2025-12-05 13:31:38.544295+00,true
177,16,32,86,8.5,2025-12-05 13:31:38.544295+00,true
178,16,37,86,8,2025-12-05 13:31:38.544295+00,true
179,6,11,87,85.1,2025-12-06 20:07:25.97853+00,true
180,6,10,87,29.25,2025-12-06 20:07:25.97853+00,true
181,6,12,87,19.5,2025-12-06 20:07:25.97853+00,true
182,6,13,87,4.25,2025-12-06 20:07:25.97853+00,true
183,24,38,89,30,2025-12-07 22:45:57.231936+00,true
184,19,33,90,250,2025-12-08 21:30:59.178379+00,true
185,19,18,90,250,2025-12-08 21:30:59.178379+00,true
186,19,33,64,0.67,2025-12-08 21:33:33.113956+00,true
187,19,18,64,0.67,2025-12-08 21:33:33.113997+00,true
188,19,11,64,0.67,2025-12-08 21:33:33.11401+00,true
189,19,33,91,30,2025-12-08 21:34:22.336812+00,true
190,19,18,91,30,2025-12-08 21:34:22.336812+00,true
191,19,11,91,30,2025-12-08 21:34:22.336812+00,true
192,19,33,92,300,2025-12-08 21:41:08.681624+00,true
193,19,11,93,5,2025-12-08 21:46:30.44796+00,true
194,19,18,93,5,2025-12-08 21:46:30.44796+00,true
195,19,33,93,5,2025-12-08 21:46:30.44796+00,true
196,19,11,94,83.33,2025-12-08 21:46:54.15994+00,true
197,19,18,94,83.33,2025-12-08 21:46:54.15994+00,true
198,19,33,94,83.33,2025-12-08 21:46:54.15994+00,true
202,19,11,96,30,2025-12-08 21:49:52.618873+00,true
203,19,18,96,30,2025-12-08 21:49:52.618873+00,true
204,19,33,96,30,2025-12-08 21:49:52.618873+00,true
205,19,11,97,50,2025-12-08 21:50:31.875032+00,true
206,19,18,97,50,2025-12-08 21:50:31.875032+00,true
207,19,33,97,50,2025-12-08 21:50:31.875032+00,true
211,19,33,99,36,2025-12-08 22:13:49.550961+00,true
212,19,18,99,32.5,2025-12-08 22:13:49.550961+00,true
213,19,11,99,2.5,2025-12-08 22:13:49.550961+00,true
214,19,33,100,36,2025-12-08 22:13:51.624051+00,true
215,19,18,100,32.5,2025-12-08 22:13:51.624051+00,true
216,19,11,100,2.5,2025-12-08 22:13:51.624051+00,true
217,22,34,102,42.5,2025-12-09 16:58:54.367808+00,true
218,22,14,102,42.5,2025-12-09 16:58:54.367808+00,true
219,16,14,103,60,2025-12-09 17:30:00.807167+00,true
220,16,18,103,60,2025-12-09 17:30:00.807167+00,true
221,16,12,103,60,2025-12-09 17:30:00.807167+00,true
222,16,32,103,60,2025-12-09 17:30:00.807167+00,true
223,16,37,103,60,2025-12-09 17:30:00.807167+00,true
224,26,39,105,700,2025-12-09 20:38:15.222751+00,true
227,26,39,106,44.61,2025-12-09 20:40:24.116448+00,true
228,26,40,106,45.39,2025-12-09 20:40:24.116448+00,true
232,26,33,107,40,2025-12-09 20:41:20.182182+00,true
233,26,39,107,40,2025-12-09 20:41:20.182182+00,true
234,26,40,107,40,2025-12-09 20:41:20.182182+00,true
239,26,39,108,330,2025-12-09 20:43:26.682117+00,true
240,26,40,108,10,2025-12-09 20:43:26.682117+00,true
241,26,33,108,20,2025-12-09 20:43:26.682117+00,true
242,26,41,108,40,2025-12-09 20:43:26.682117+00,true
245,26,39,104,0.4,2025-12-12 13:48:24.67045+00,true
246,26,40,104,0.4,2025-12-12 13:48:24.670472+00,true
247,26,33,104,0.4,2025-12-12 13:48:24.670481+00,true
248,26,41,104,0.4,2025-12-12 13:48:24.670488+00,true
249,26,42,104,0.4,2025-12-12 13:48:24.670494+00,true
250,26,33,110,45,2025-12-12 13:50:23.034103+00,true
251,26,42,110,45,2025-12-12 13:50:23.034103+00,true
252,27,43,112,25,2025-12-12 16:55:46.560139+00,true
255,27,43,113,14,2025-12-12 17:20:22.076161+00,true
256,27,44,113,14,2025-12-12 17:20:22.076161+00,true
257,27,43,114,3,2025-12-12 17:22:12.737433+00,true
258,27,44,114,3,2025-12-12 17:22:12.737433+00,true
259,16,14,115,4,2025-12-15 11:25:04.296046+00,true
260,16,18,115,4,2025-12-15 11:25:04.296046+00,true
261,16,12,115,4,2025-12-15 11:25:04.296046+00,true
262,16,32,115,4,2025-12-15 11:25:04.296046+00,true
263,16,37,115,4,2025-12-15 11:25:04.296046+00,true
264,16,14,56,0.33,2025-12-15 11:29:19.570004+00,true
265,16,18,56,0.33,2025-12-15 11:29:19.570034+00,true
266,16,12,56,0.33,2025-12-15 11:29:19.570052+00,true
267,16,32,56,0.33,2025-12-15 11:29:19.570061+00,true
268,16,37,56,0.33,2025-12-15 11:29:19.57007+00,true
269,16,33,56,0.33,2025-12-15 11:29:19.570078+00,true
270,16,18,116,350,2025-12-15 11:30:28.127997+00,true
271,16,33,116,150,2025-12-15 11:30:28.127997+00,true
274,19,33,118,100,2025-12-15 13:15:17.831529+00,true
275,19,18,118,200,2025-12-15 13:15:17.831529+00,true
276,19,33,119,50,2025-12-15 13:16:26.70834+00,true
277,19,18,119,300,2025-12-15 13:16:26.70834+00,true
278,19,11,119,50,2025-12-15 13:16:26.70834+00,true
279,19,33,120,75,2025-12-15 16:22:33.792018+00,true
280,19,18,120,275,2025-12-15 16:22:33.792018+00,true
284,19,33,122,16.67,2025-12-15 16:27:53.613375+00,true
285,19,18,122,16.67,2025-12-15 16:27:53.613375+00,true
286,19,11,122,16.66,2025-12-15 16:27:53.613375+00,true
287,19,33,123,60,2025-12-15 16:29:40.931525+00,true
288,19,18,123,230,2025-12-15 16:29:40.931525+00,true
289,19,11,123,10,2025-12-15 16:29:40.931525+00,true
290,19,33,124,100,2025-12-15 17:14:56.531458+00,true
291,19,18,124,200,2025-12-15 17:14:56.531458+00,true
292,19,33,125,10,2025-12-15 17:29:34.050978+00,true
293,19,18,125,20,2025-12-15 17:29:34.050978+00,true
294,19,11,125,30,2025-12-15 17:29:34.050978+00,true
295,19,33,126,30.5,2025-12-15 17:30:29.761716+00,true
296,19,18,126,32,2025-12-15 17:30:29.761716+00,true
297,19,11,126,8.5,2025-12-15 17:30:29.761716+00,true
300,19,33,128,100,2025-12-15 17:48:45.873881+00,true
301,19,18,128,400,2025-12-15 17:48:45.873881+00,true
302,19,33,129,10,2025-12-15 17:49:07.019197+00,true
303,19,18,129,10,2025-12-15 17:49:07.019197+00,true
304,19,11,129,10,2025-12-15 17:49:07.019197+00,true
305,19,33,130,100,2025-12-15 17:55:22.441361+00,true
306,19,18,130,250,2025-12-15 17:55:22.441361+00,true
309,19,33,133,15,2025-12-15 18:08:36.238568+00,true
310,19,18,133,10,2025-12-15 18:08:36.238568+00,true
311,19,11,133,5,2025-12-15 18:08:36.238568+00,true
315,19,33,135,50,2025-12-15 18:14:13.902094+00,true
316,19,18,135,400,2025-12-15 18:14:13.902094+00,true
317,19,33,136,20,2025-12-15 18:24:55.452368+00,true
318,19,18,136,10,2025-12-15 18:24:55.452368+00,true
319,19,33,137,32.5,2025-12-15 18:25:59.396508+00,true
320,19,18,137,34.5,2025-12-15 18:25:59.396508+00,true
321,19,11,137,4,2025-12-15 18:25:59.396508+00,true
324,19,33,139,30,2025-12-15 18:29:37.730373+00,true
325,19,18,139,150,2025-12-15 18:29:37.730373+00,true
326,19,11,139,20,2025-12-15 18:29:37.730373+00,true
327,19,33,140,15,2025-12-15 18:35:19.95221+00,true
328,19,18,140,10,2025-12-15 18:35:19.95221+00,true
329,19,11,140,5,2025-12-15 18:35:19.95221+00,true
330,19,33,141,34.5,2025-12-15 18:36:10.864467+00,true
331,19,18,141,26.5,2025-12-15 18:36:10.864467+00,true
332,19,11,141,10,2025-12-15 18:36:10.864467+00,true
333,19,33,142,10,2025-12-15 18:36:56.655894+00,true
334,19,18,142,10,2025-12-15 18:36:56.655894+00,true
338,29,46,146,7.5,2025-12-17 09:34:45.661133+00,true
339,29,47,146,7.5,2025-12-17 09:34:45.661133+00,true
340,29,46,144,0.67,2025-12-17 09:36:05.649222+00,true
341,29,47,144,0.67,2025-12-17 09:36:05.649246+00,true
342,29,48,144,0.67,2025-12-17 09:36:05.649259+00,true
343,29,46,147,17.67,2025-12-17 09:37:19.615484+00,true
344,29,47,147,17.67,2025-12-17 09:37:19.615484+00,true
345,29,48,147,17.67,2025-12-17 09:37:19.615484+00,true
348,16,18,117,300,2025-12-17 12:08:59.373151+00,true
349,16,33,117,50,2025-12-17 12:08:59.373151+00,true
353,27,43,148,5,2025-12-17 16:49:40.004787+00,true
354,27,44,148,5,2025-12-17 16:49:40.004787+00,true
355,27,50,148,5,2025-12-17 16:49:40.004787+00,true
356,27,43,149,5,2025-12-17 16:58:17.522104+00,true
357,27,44,149,5,2025-12-17 16:58:17.522104+00,true
358,27,50,149,5,2025-12-17 16:58:17.522104+00,true
359,27,43,150,5,2025-12-17 16:59:38.375871+00,true
360,27,44,150,5,2025-12-17 16:59:38.375871+00,true
361,27,50,150,5,2025-12-17 16:59:38.375871+00,true
362,27,43,151,5,2025-12-17 17:00:50.412594+00,true
363,27,44,151,5,2025-12-17 17:00:50.412594+00,true
364,27,50,151,5,2025-12-17 17:00:50.412594+00,true
365,27,43,152,5,2025-12-17 17:02:17.510658+00,true
366,27,44,152,5,2025-12-17 17:02:17.510658+00,true
367,27,50,152,5,2025-12-17 17:02:17.510658+00,true
368,27,43,111,0.5,2025-12-17 17:04:13.706399+00,true
369,27,44,111,0.5,2025-12-17 17:04:13.706399+00,true
370,27,50,111,0.5,2025-12-17 17:04:13.706399+00,true
371,27,51,111,0.5,2025-12-17 17:04:13.706399+00,true
372,27,43,153,12,2025-12-17 17:05:22.502883+00,true
373,27,44,153,12,2025-12-17 17:05:22.502883+00,true
374,27,50,153,12,2025-12-17 17:05:22.502883+00,true
375,27,51,153,12,2025-12-17 17:05:22.502883+00,true
376,27,43,154,12,2025-12-17 17:05:41.099678+00,true
377,27,44,154,12,2025-12-17 17:05:41.099678+00,true
378,27,50,154,12,2025-12-17 17:05:41.099678+00,true
379,27,51,154,12,2025-12-17 17:05:41.099678+00,true
380,27,43,155,12,2025-12-17 17:13:35.608096+00,true
381,27,44,155,12,2025-12-17 17:13:35.608096+00,true
382,27,50,155,12,2025-12-17 17:13:35.608096+00,true
383,27,51,155,12,2025-12-17 17:13:35.608096+00,true
384,27,43,156,12,2025-12-17 17:20:01.458933+00,true
385,27,44,156,12,2025-12-17 17:20:01.458933+00,true
386,27,50,156,12,2025-12-17 17:20:01.458933+00,true
387,27,51,156,12,2025-12-17 17:20:01.458933+00,true
388,27,43,157,12,2025-12-17 17:20:47.163568+00,true
389,27,44,157,12,2025-12-17 17:20:47.163568+00,true
390,27,50,157,12,2025-12-17 17:20:47.163568+00,true
391,27,51,157,12,2025-12-17 17:20:47.163568+00,true
392,30,11,164,12.5,2025-12-17 18:24:12.453195+00,true
393,16,18,165,10,2025-12-18 10:12:09.504227+00,true
394,16,33,165,10,2025-12-18 10:12:09.504227+00,true
404,28,45,143,0.4,2025-12-18 11:40:12.167439+00,true
405,28,32,143,0.4,2025-12-18 11:40:12.167456+00,true
406,28,18,143,0.4,2025-12-18 11:40:12.167465+00,true
407,28,49,143,0.4,2025-12-18 11:40:12.167471+00,true
408,28,52,143,0.4,2025-12-18 11:40:12.167626+00,true
409,28,45,166,15.2,2025-12-18 11:41:10.447308+00,true
410,28,32,166,15.2,2025-12-18 11:41:10.447308+00,true
411,28,18,166,15.2,2025-12-18 11:41:10.447308+00,true
412,28,49,166,15.2,2025-12-18 11:41:10.447308+00,true
413,28,52,166,15.2,2025-12-18 11:41:10.447308+00,true
414,28,45,167,196,2025-12-18 11:41:35.150321+00,true
415,28,32,167,196,2025-12-18 11:41:35.150321+00,true
416,28,18,167,196,2025-12-18 11:41:35.150321+00,true
417,28,49,167,196,2025-12-18 11:41:35.150321+00,true
418,28,52,167,196,2025-12-18 11:41:35.150321+00,true
419,28,18,168,120,2025-12-18 11:43:02.920372+00,true
420,28,52,168,60,2025-12-18 11:43:02.920372+00,true
423,28,45,170,24,2025-12-18 11:44:13.002232+00,true
424,28,32,170,24,2025-12-18 11:44:13.002232+00,true
425,28,18,170,24,2025-12-18 11:44:13.002232+00,true
426,28,49,170,24,2025-12-18 11:44:13.002232+00,true
427,28,52,170,24,2025-12-18 11:44:13.002232+00,true
428,28,45,171,1160,2025-12-18 11:45:58.372583+00,true
429,28,32,171,1160,2025-12-18 11:45:58.372583+00,true
430,28,18,171,1160,2025-12-18 11:45:58.372583+00,true
431,28,49,171,1160,2025-12-18 11:45:58.372583+00,true
432,28,52,171,1160,2025-12-18 11:45:58.372583+00,true
433,28,45,172,200,2025-12-18 11:47:14.747178+00,true
434,28,32,172,200,2025-12-18 11:47:14.747178+00,true
435,28,18,172,200,2025-12-18 11:47:14.747178+00,true
436,28,49,172,200,2025-12-18 11:47:14.747178+00,true
442,31,53,173,0.5,2025-12-18 11:53:18.288516+00,true
443,31,18,173,0.5,2025-12-18 11:53:18.288541+00,true
444,31,20,173,0.5,2025-12-18 11:53:18.288551+00,true
445,31,54,173,0.5,2025-12-18 11:53:18.288559+00,true
446,31,53,174,27.69,2025-12-18 11:54:32.207512+00,true
447,31,18,174,27.69,2025-12-18 11:54:32.207512+00,true
448,31,20,174,27.7,2025-12-18 11:54:32.207512+00,true
449,31,54,174,27.7,2025-12-18 11:54:32.207512+00,true
450,31,53,175,16,2025-12-18 11:54:56.717525+00,true
451,31,18,175,16,2025-12-18 11:54:56.717525+00,true
452,31,20,175,16,2025-12-18 11:54:56.717525+00,true
453,31,54,175,16,2025-12-18 11:54:56.717525+00,true
454,31,54,176,9.5,2025-12-18 11:56:11.105707+00,true
455,31,53,177,25,2025-12-18 11:56:52.957722+00,true
456,31,18,177,25,2025-12-18 11:56:52.957722+00,true
457,31,20,177,25,2025-12-18 11:56:52.957722+00,true
458,31,54,177,25,2025-12-18 11:56:52.957722+00,true
459,31,53,178,345,2025-12-18 11:57:57.368603+00,true
460,31,18,178,345,2025-12-18 11:57:57.368603+00,true
461,31,20,178,345,2025-12-18 11:57:57.368603+00,true
462,31,54,178,345,2025-12-18 11:57:57.368603+00,true
